se_floor,pooled_d,pooled_se,ci_lower,ci_upper,I_sq,tau_sq,Q,mr_slope,mr_slope_se,mr_slope_p,mr_R_sq
0.01,-0.0425,0.17,-0.3757,0.2908,95.9434,0.5598,493.0234,0.7494,0.3017,0.0225,0.0164
0.025,-0.0425,0.17,-0.3757,0.2908,95.9434,0.5598,493.0234,0.7494,0.3017,0.0225,0.0164
0.05,-0.0426,0.1704,-0.3765,0.2913,95.8953,0.5622,487.2414,0.7494,0.3017,0.0225,0.0235
0.1,-0.0446,0.1756,-0.3888,0.2995,95.2063,0.5997,417.2127,0.7505,0.3015,0.0222,0.1284
0.15,-0.0488,0.1842,-0.4099,0.3123,94.598,0.6628,370.2332,0.7523,0.3009,0.0217,0.1701
