model,parameter,coefficient,se,ci_lower,ci_upper,p,aic,bic,icc
M0_null,Grand Mean,-0.0656,0.2076,-0.4725,0.3412,0.7518,201.2466,209.1216,0.8005
M1_scale,log_params,0.7299,0.3039,0.1343,1.3255,0.0163,198.5116,209.0115,0.7615
M2_training,Training: RLHF,0.9107,0.4637,0.0018,1.8195,0.0495,185.4285,198.5534,0.6112
M2_training,Training: pretraining_alignment,-1.8784,0.3945,-2.6516,-1.1052,0.0,185.4285,198.5534,0.6112
M3_encoder,Encoder: EVA-family,-1.045,0.358,-1.7468,-0.3433,0.0035,143.7641,155.3515,0.579
M3_encoder,Encoder: ViT-large,-0.3941,0.4206,-1.2185,0.4303,0.3488,143.7641,155.3515,0.579
M4_full,Training: RLHF,-1.8141,1.2013,-4.1687,0.5405,0.131,181.4752,197.225,0.5409
M4_full,Training: pretraining_alignment,-1.8024,0.3517,-2.4916,-1.1132,0.0,181.4752,197.225,0.5409
M4_full,log_params,1.3886,0.5754,0.2607,2.5164,0.0158,181.4752,197.225,0.5409
