model,task,n_layers,oracle_layer,last_layer_gap,ID_pick,ID_regret,ID_rank_agree,curv_pick,curv_regret,curv_rank_agree
sentence-transformers/paraphrase-mpnet-base-v2,STS,13,12,0.0,10,0.0847,0.527,12,0.0,0.346
sentence-transformers/paraphrase-mpnet-base-v2,RETRIEVAL,13,12,0.0,10,0.004,0.197,12,0.0,0.039
sentence-transformers/paraphrase-mpnet-base-v2,sst2,13,11,0.0115,10,0.0069,0.813,12,0.0115,0.56
sentence-transformers/paraphrase-mpnet-base-v2,trec,13,10,0.062,10,0.0,0.861,12,0.062,0.523
sentence-transformers/paraphrase-mpnet-base-v2,subj,13,7,0.019,10,0.008,0.744,12,0.019,0.711
intfloat/e5-base-v2,STS,13,12,0.0,9,0.1635,0.176,7,0.1892,0.39
intfloat/e5-base-v2,RETRIEVAL,13,12,0.0,9,0.012,0.0,7,0.016,0.025
intfloat/e5-base-v2,sst2,13,10,0.0264,9,0.0161,0.61,7,0.0596,0.736
intfloat/e5-base-v2,trec,13,9,0.012,9,0.0,0.681,7,0.016,0.786
intfloat/e5-base-v2,subj,13,8,0.006,9,0.0,0.744,7,0.006,0.86
intfloat/e5-small-v2,STS,13,12,0.0,8,0.2345,-0.352,5,0.2468,-0.802
intfloat/e5-small-v2,RETRIEVAL,13,12,0.0,8,0.02,-0.601,5,0.018,-0.476
intfloat/e5-small-v2,sst2,13,10,0.0138,8,0.0344,0.291,5,0.0539,0.049
intfloat/e5-small-v2,trec,13,10,0.024,8,0.008,0.545,5,0.032,0.08
intfloat/e5-small-v2,subj,13,9,0.032,8,0.005,0.824,5,0.021,0.319
BAAI/bge-base-en-v1.5,STS,13,12,0.0,10,0.1005,0.225,7,0.2187,0.176
BAAI/bge-base-en-v1.5,RETRIEVAL,13,12,0.0,10,0.014,-0.159,7,0.014,-0.011
BAAI/bge-base-en-v1.5,sst2,13,11,0.008,10,0.0046,0.511,7,0.1158,0.462
BAAI/bge-base-en-v1.5,trec,13,9,0.036,10,0.006,0.879,7,0.022,0.86
BAAI/bge-base-en-v1.5,subj,13,9,0.032,10,0.001,0.951,7,0.013,0.885
thenlper/gte-base,STS,13,12,0.0,10,0.1489,0.049,7,0.2239,-0.115
thenlper/gte-base,RETRIEVAL,13,12,0.0,10,0.008,0.267,7,0.018,0.171
thenlper/gte-base,sst2,13,11,0.0183,10,0.0138,0.5,7,0.1227,0.473
thenlper/gte-base,trec,13,9,0.074,10,0.004,0.938,7,0.018,0.872
thenlper/gte-base,subj,13,9,0.033,10,0.0,0.882,7,0.017,0.802
